make,year,price_pkr,mileage_km,engine_cc,transmission,fuel_type,city,seller_type
Toyota,2020.0,5690000.0,73619.0,1000.0,Automatic,Petrol,Lahore,Individual
Toyota,2020.0,5895000.0,106451.0,1000.0,Automatic,Petrol,Lahore,Individual
Toyota,2020.0,5790000.0,55420.0,1000.0,Automatic,Petrol,Lahore,Individual
KIA,2023.0,8000000.0,6000.0,2000.0,Automatic,Petrol,Karachi,Individual
Honda,2014.0,3500000.0,100000.0,1800.0,Automatic,Petrol,Mardan,Individual
Suzuki,2011.0,1150000.0,61900.0,800.0,Manual,Petrol,Islamabad,Individual
Toyota,2018.0,4250000.0,95000.0,1300.0,Manual,Petrol,Lahore,Individual
Toyota,2020.0,5500000.0,66000.0,1000.0,Automatic,Petrol,Gujranwala,Individual
Toyota,2022.0,2550000.0,80000.0,660.0,Manual,Petrol,Wazirabad,Individual
Honda,2022.0,7100000.0,26000.0,1500.0,Automatic,Petrol,Karachi,Individual
Honda,2014.0,3950000.0,128000.0,1800.0,Automatic,Petrol,Lahore,Individual
Suzuki,2008.0,1400000.0,100000.0,1000.0,Manual,Petrol,Faisalabad,Individual
Toyota,2021.0,4050000.0,61.0,1300.0,Automatic,Petrol,Karachi,Individual
Toyota,2006.0,4800000.0,40000.0,2500.0,Automatic,Petrol,Karachi,Individual
Toyota,2010.0,2400000.0,110000.0,1000.0,Automatic,Petrol,Lahore,Individual
Toyota,2006.0,2380000.0,160000.0,1300.0,Automatic,Petrol,Bannu,Individual
Toyota,2019.0,6500000.0,60000.0,1500.0,Automatic,Petrol,Peshawar,Individual
Suzuki,2017.0,2390000.0,204500.0,660.0,Automatic,Petrol,Wah cantt,Individual
Changan,2022.0,7875000.0,13000.0,1500.0,Automatic,Petrol,Lahore,Individual
Toyota,1998.0,3500000.0,65000.0,3000.0,Automatic,Diesel,Sheikhupura,Individual
Toyota,2015.0,4400000.0,140000.0,1500.0,Automatic,Hybrid,Fateh Jang,Individual
Suzuki,1989.0,600000.0,100000.0,800.0,Manual,Petrol,Lahore,Individual
Honda,2010.0,2200000.0,200500.0,1800.0,Manual,Petrol,Islamabad,Individual
Honda,2013.0,3180000.0,150000.0,1800.0,Automatic,Petrol,Lahore,Individual
Toyota,2018.0,4075000.0,86000.0,1000.0,Automatic,Petrol,Lahore,Individual
Toyota,2016.0,325000.0,74000.0,4600.0,Automatic,Petrol,Sialkot,Individual
Suzuki,1998.0,1240000.0,156700.0,1000.0,Manual,Petrol,Lahore,Individual
Toyota,2017.0,4400000.0,160000.0,1300.0,Manual,Petrol,Islamabad,Individual
Toyota,2018.0,5675000.0,41000.0,1800.0,Automatic,Petrol,Sialkot,Individual
Honda,2018.0,5750000.0,63000.0,1800.0,Automatic,Petrol,Sialkot,Individual
KIA,2022.0,6750000.0,50800.0,2000.0,Automatic,Petrol,Gujranwala,Individual
Toyota,2017.0,235000.0,48000.0,2700.0,Automatic,Petrol,Karachi,Individual
Suzuki,2012.0,2170000.0,200000.0,1300.0,Manual,Petrol,Peshawar,Individual
KIA,2021.0,6290000.0,112000.0,2000.0,Automatic,Petrol,Islamabad,Individual
Honda,2017.0,4850000.0,170000.0,1800.0,Automatic,Petrol,Islamabad,Individual
Toyota,2013.0,3375000.0,49500.0,1000.0,Automatic,Petrol,Islamabad,Individual
Suzuki,2007.0,980000.0000000001,100000.0,1000.0,Manual,Petrol,Lahore,Individual
Honda,2020.0,4300000.0,118000.0,1500.0,Automatic,Petrol,Lahore,Individual
Suzuki,1994.0,650000.0,100000.0,1300.0,Manual,Petrol,Islamabad,Individual
Daihatsu,2022.0,3390000.0,17500.0,660.0,Automatic,Petrol,Rawalpindi,Individual
Toyota,2015.0,3050000.0,50000.0,1300.0,Automatic,Petrol,Karachi,Individual
